"emp_no","dept_no","from_date","to_date"
53810,"d007","1988-09-25","9999-01-01"
273380,"d004","1989-12-29","9999-01-01"
205735,"d005","2002-02-22","9999-01-01"
249115,"d009","1999-07-27","9999-01-01"
94713,"d004","1990-06-16","9999-01-01"
426964,"d005","1991-07-04","9999-01-01"
69157,"d008","1998-10-13","9999-01-01"
80666,"d002","1997-03-20","2002-06-13"
64774,"d004","2000-02-14","9999-01-01"
429345,"d007","1986-04-12","9999-01-01"
51707,"d005","1990-10-03","9999-01-01"
50187,"d008","1998-02-18","9999-01-01"
407977,"d002","1995-06-08","9999-01-01"
413980,"d004","1992-08-23","9999-01-01"
207396,"d005","1992-01-02","9999-01-01"
450336,"d007","1995-05-25","1995-09-17"
407867,"d006","1988-08-05","9999-01-01"
436086,"d004","1997-01-03","9999-01-01"
295863,"d008","1985-08-19","9999-01-01"
251111,"d007","1993-12-07","9999-01-01"
26048,"d005","1993-05-08","2000-09-13"
491334,"d006","1995-03-10","9999-01-01"
407588,"d009","1986-07-29","9999-01-01"
447939,"d007","1995-08-13","9999-01-01"
283011,"d007","1998-07-27","9999-01-01"
13924,"d004","1991-11-05","9999-01-01"
56409,"d007","1997-06-20","2000-10-28"
295292,"d005","1988-12-10","2001-02-21"
41680,"d007","1997-07-02","9999-01-01"
106932,"d009","1987-03-08","9999-01-01"
475684,"d005","1999-10-23","9999-01-01"
33927,"d005","1986-11-14","9999-01-01"
252724,"d005","1994-07-10","2001-01-21"
414976,"d008","1994-06-14","9999-01-01"
104317,"d005","1989-01-02","9999-01-01"
24940,"d005","1985-11-02","9999-01-01"
432164,"d007","1994-10-09","1999-09-18"
463270,"d008","1997-08-04","1998-09-10"
414430,"d004","1987-08-20","9999-01-01"
468227,"d007","1994-05-20","1999-07-25"
228400,"d009","1993-10-21","9999-01-01"
408203,"d006","1991-09-12","9999-01-01"
89497,"d004","1999-07-12","1999-12-01"
462469,"d005","1987-01-07","9999-01-01"
451375,"d005","1988-12-18","1991-10-24"
48275,"d007","1987-11-20","9999-01-01"
230117,"d004","1985-11-20","9999-01-01"
405491,"d003","1991-06-12","9999-01-01"
292829,"d005","1987-05-04","9999-01-01"
209755,"d009","1996-01-04","2001-10-24"
233186,"d005","1995-11-08","9999-01-01"
422057,"d007","1986-07-06","9999-01-01"
219043,"d002","1985-03-11","9999-01-01"
474625,"d002","1999-04-29","9999-01-01"
295210,"d004","1991-07-13","9999-01-01"
107954,"d009","1998-05-04","2000-03-03"
23262,"d008","1994-06-05","1997-11-24"
89791,"d003","1997-10-29","9999-01-01"
475379,"d006","1990-06-26","2001-10-11"
222266,"d007","1996-02-26","2002-02-07"
423159,"d004","1991-05-23","9999-01-01"
222125,"d006","1987-07-02","9999-01-01"
221461,"d004","1990-12-29","9999-01-01"
233911,"d004","1989-10-26","9999-01-01"
264731,"d005","1999-03-01","2001-01-19"
206821,"d008","1999-02-06","9999-01-01"
421190,"d007","1995-10-19","2001-10-03"
235784,"d005","1996-05-22","9999-01-01"
54301,"d007","1997-02-04","9999-01-01"
258316,"d003","1985-11-02","9999-01-01"
75747,"d006","1987-12-28","9999-01-01"
50582,"d007","1996-02-10","2001-08-10"
227362,"d002","1996-05-30","1998-12-26"
64559,"d007","1985-05-06","1995-05-31"
421234,"d007","1992-08-22","9999-01-01"
222561,"d004","1999-05-16","2001-03-29"
409355,"d002","1994-10-21","1994-12-28"
442404,"d004","1989-12-22","2001-04-10"
298111,"d007","1986-09-10","9999-01-01"
468153,"d006","1996-09-09","9999-01-01"
232924,"d003","1994-06-01","9999-01-01"
70992,"d008","1999-05-21","9999-01-01"
65709,"d006","1996-05-12","1998-02-17"
436636,"d005","1992-07-19","9999-01-01"
265019,"d001","1992-07-10","1996-08-08"
447102,"d005","1988-03-01","2001-11-12"
277327,"d001","1994-05-13","1994-08-18"
234960,"d008","1986-10-06","1996-05-17"
86360,"d004","1993-05-29","1996-10-21"
410538,"d004","1989-12-01","9999-01-01"
257623,"d007","1995-11-24","2002-02-28"
67824,"d007","1992-02-07","9999-01-01"
450063,"d008","1995-10-27","1996-05-02"
253021,"d005","1988-01-07","9999-01-01"
435097,"d007","1992-05-06","9999-01-01"
447930,"d005","1987-03-23","1999-08-08"
438746,"d001","1988-03-17","9999-01-01"
40739,"d001","1999-08-09","9999-01-01"
225039,"d005","1988-08-17","1993-10-09"
441067,"d007","1989-08-16","9999-01-01"
57871,"d007","1995-08-28","9999-01-01"
19423,"d004","2000-01-23","2000-10-08"
220137,"d002","1989-11-07","9999-01-01"
66890,"d005","1988-04-13","9999-01-01"
264439,"d007","1992-04-01","9999-01-01"
106500,"d005","1987-07-21","1998-05-11"
202894,"d007","1997-03-16","2001-09-03"
91262,"d002","1989-06-21","9999-01-01"
250725,"d007","1997-03-20","9999-01-01"
406096,"d008","1999-02-10","9999-01-01"
101295,"d008","1994-08-07","1996-02-17"
488720,"d004","1995-03-24","2001-02-18"
41715,"d005","1998-03-25","9999-01-01"
497551,"d004","1992-01-14","9999-01-01"
282262,"d005","1998-11-20","9999-01-01"
459085,"d002","1996-07-23","9999-01-01"
493508,"d005","1999-10-15","9999-01-01"
261410,"d004","1991-11-08","9999-01-01"
294158,"d004","1987-11-23","9999-01-01"
256477,"d006","1996-06-10","1998-11-29"
480262,"d004","1998-06-28","1999-03-24"
214248,"d009","1990-06-12","9999-01-01"
485809,"d007","1999-05-18","2000-04-20"
406530,"d005","1988-07-25","1990-08-29"
90867,"d005","1999-02-18","9999-01-01"
248892,"d005","1990-12-26","9999-01-01"
78166,"d007","1996-03-30","9999-01-01"
78646,"d004","1991-07-01","1995-04-20"
230330,"d005","1995-06-21","9999-01-01"
458924,"d004","1999-06-12","9999-01-01"
212289,"d007","1994-11-21","1998-06-07"
200354,"d005","1985-11-26","9999-01-01"
292757,"d005","1986-11-08","1995-07-15"
88158,"d005","1994-05-31","9999-01-01"
105401,"d005","1999-07-27","9999-01-01"
233173,"d004","1997-09-17","2000-09-08"
404853,"d009","2000-03-29","9999-01-01"
41518,"d004","2001-02-08","9999-01-01"
245689,"d001","1995-03-04","1995-09-11"
267387,"d005","1986-01-02","9999-01-01"
100781,"d005","1994-02-13","9999-01-01"
237131,"d007","1986-08-18","9999-01-01"
498719,"d005","1986-05-21","9999-01-01"
211931,"d002","1986-07-22","9999-01-01"
57746,"d006","1997-11-11","9999-01-01"
280570,"d005","1993-12-12","9999-01-01"
292083,"d007","1997-05-02","1997-08-20"
82346,"d005","1998-10-24","9999-01-01"
14609,"d005","1986-08-29","1997-08-14"
269818,"d005","1990-09-10","9999-01-01"
29241,"d001","1999-06-29","9999-01-01"
483930,"d005","1991-10-10","9999-01-01"
30393,"d008","1993-08-07","9999-01-01"
105584,"d005","1992-02-24","9999-01-01"
18964,"d003","1995-02-10","9999-01-01"
102207,"d001","1994-04-21","1994-09-11"
258097,"d001","1986-01-25","1997-04-01"
97614,"d005","1989-03-30","9999-01-01"
36472,"d005","1997-03-23","9999-01-01"
425877,"d002","1994-12-19","9999-01-01"
227618,"d005","1990-11-29","9999-01-01"
34664,"d007","1992-04-08","1996-05-30"
427266,"d008","1993-07-26","9999-01-01"
101998,"d005","1987-02-23","9999-01-01"
488879,"d001","1997-06-08","1998-06-11"
461829,"d005","1989-03-14","1995-12-23"
436917,"d005","1987-05-21","1999-03-12"
240164,"d005","1990-10-21","9999-01-01"
477468,"d004","1987-08-05","9999-01-01"
461975,"d004","1994-02-22","9999-01-01"
454613,"d004","1995-02-20","2000-07-19"
57453,"d005","1999-05-28","2001-07-07"
226452,"d005","1995-12-05","9999-01-01"
236323,"d005","1992-06-15","9999-01-01"
413668,"d009","1995-06-17","9999-01-01"
269291,"d002","1997-09-30","9999-01-01"
78408,"d004","2000-07-16","9999-01-01"
246355,"d004","1999-03-06","9999-01-01"
469820,"d005","1994-12-02","9999-01-01"
253713,"d005","1997-06-19","2001-10-07"
416294,"d002","1986-06-09","9999-01-01"
406344,"d005","2000-01-13","2001-10-10"
106003,"d005","1992-03-10","2002-02-24"
261955,"d005","1990-01-08","9999-01-01"
52226,"d005","1999-03-26","9999-01-01"
405796,"d008","1989-11-07","9999-01-01"
402559,"d005","1989-12-14","9999-01-01"
238949,"d007","1987-10-04","9999-01-01"
499234,"d004","1991-07-14","1999-09-07"
26604,"d008","1987-01-25","1995-09-27"
464583,"d008","1998-08-17","1999-09-11"
408184,"d006","1999-03-01","2000-02-03"
242029,"d004","1992-11-27","9999-01-01"
468468,"d005","1988-12-11","9999-01-01"
50290,"d006","1995-09-27","9999-01-01"
202092,"d005","1994-05-08","2002-01-17"
457151,"d006","1995-11-17","1995-12-21"
297495,"d005","1997-07-19","2000-07-05"
11507,"d004","1999-09-26","9999-01-01"
283713,"d007","1985-05-29","1988-07-27"
262135,"d007","1990-09-25","9999-01-01"
95207,"d005","1989-12-17","1991-06-08"
277049,"d008","1998-05-29","9999-01-01"
254145,"d004","1999-07-14","9999-01-01"
80794,"d005","1995-05-07","9999-01-01"
216990,"d002","1996-02-07","9999-01-01"
234055,"d004","1998-11-04","2001-05-03"
293640,"d008","1991-11-21","1992-09-01"
472090,"d005","1991-06-03","9999-01-01"
482743,"d001","1987-02-01","1987-03-29"
29193,"d004","1991-08-29","9999-01-01"
30732,"d008","1995-06-28","2002-01-03"
66783,"d006","1999-05-16","9999-01-01"
99098,"d009","1994-04-08","9999-01-01"
89548,"d004","1988-04-30","9999-01-01"
297906,"d004","1998-08-31","9999-01-01"
225375,"d007","1991-02-10","9999-01-01"
217266,"d004","1992-09-08","9999-01-01"
292659,"d001","1993-02-13","2000-09-04"
409149,"d007","1989-01-28","1993-08-13"
220793,"d004","1991-05-07","9999-01-01"
411327,"d004","1997-08-13","9999-01-01"
297728,"d005","1995-06-01","9999-01-01"
258272,"d008","1992-06-06","9999-01-01"
465096,"d004","1986-08-21","9999-01-01"
22411,"d007","1992-01-12","9999-01-01"
439245,"d005","1997-12-03","1998-08-16"
481665,"d003","1996-11-09","9999-01-01"
426114,"d004","1989-12-28","9999-01-01"
87323,"d004","1988-10-16","9999-01-01"
490601,"d007","1999-08-30","9999-01-01"
488247,"d009","1999-06-20","9999-01-01"
436255,"d005","1992-07-21","9999-01-01"
299938,"d005","1991-11-23","2000-01-14"
458234,"d008","1986-04-30","1998-03-15"
462381,"d004","1994-07-15","9999-01-01"
471342,"d007","1998-03-14","1999-11-14"
267041,"d008","1992-09-27","9999-01-01"
484840,"d004","1999-12-03","2001-05-19"
403326,"d007","1997-09-04","9999-01-01"
403667,"d005","1986-08-18","9999-01-01"
451758,"d007","1989-09-11","9999-01-01"
297980,"d005","1985-04-29","9999-01-01"
437658,"d005","1996-09-12","1998-08-27"
239743,"d006","2001-02-10","9999-01-01"
228873,"d007","1997-11-12","9999-01-01"
469388,"d008","1999-03-12","9999-01-01"
431641,"d002","1990-12-18","9999-01-01"
216762,"d006","1996-01-03","9999-01-01"
428984,"d008","1990-07-19","9999-01-01"
416153,"d005","1999-04-28","2001-03-03"
440695,"d007","1995-12-31","1996-11-26"
258653,"d006","1988-03-27","9999-01-01"
247396,"d004","1997-04-24","9999-01-01"
34789,"d007","1987-04-08","1999-05-30"
222230,"d007","1998-11-06","9999-01-01"
87478,"d004","1988-02-27","9999-01-01"
231514,"d005","1996-09-10","1997-02-23"
84335,"d006","1993-02-24","1998-11-07"
485047,"d005","1997-04-27","9999-01-01"
414823,"d004","1993-11-23","9999-01-01"
419603,"d004","1998-10-01","9999-01-01"
269078,"d007","1998-04-25","9999-01-01"
459958,"d002","1990-10-15","1992-04-20"
227526,"d005","1986-08-31","1989-07-04"
417356,"d008","1996-09-12","9999-01-01"
256976,"d005","1991-12-12","1994-12-11"
229640,"d009","1999-01-10","9999-01-01"
475164,"d005","1994-11-27","9999-01-01"
473827,"d007","1992-02-06","9999-01-01"
485660,"d005","1987-06-25","1993-11-07"
413141,"d005","1988-02-05","1993-11-16"
498481,"d001","1993-08-26","9999-01-01"
290783,"d005","1991-06-03","9999-01-01"
245558,"d009","1994-10-29","9999-01-01"
462483,"d001","1997-06-30","9999-01-01"
272263,"d001","1987-05-25","9999-01-01"
59323,"d004","1988-02-23","9999-01-01"
478395,"d009","1988-03-21","9999-01-01"
58212,"d005","1986-08-22","9999-01-01"
53704,"d004","1996-05-20","9999-01-01"
70876,"d004","1999-11-21","1999-11-25"
208018,"d004","1986-12-30","9999-01-01"
231715,"d004","1997-07-13","9999-01-01"
64133,"d004","1995-08-10","9999-01-01"
96277,"d008","1995-03-27","9999-01-01"
487697,"d007","1999-10-16","9999-01-01"
454664,"d005","1991-10-10","9999-01-01"
91392,"d009","1996-07-20","9999-01-01"
459353,"d005","1991-12-11","1993-02-08"
87401,"d005","1997-10-19","9999-01-01"
214938,"d005","1989-10-20","9999-01-01"
480234,"d007","1992-07-20","9999-01-01"
456943,"d009","1986-06-11","9999-01-01"
46946,"d005","1995-05-29","9999-01-01"
22859,"d005","1990-09-01","1991-11-17"
282142,"d004","1996-06-22","9999-01-01"
445939,"d003","1999-07-25","9999-01-01"
495761,"d008","1999-11-06","9999-01-01"
84434,"d008","1991-09-09","9999-01-01"
50061,"d007","1997-11-08","9999-01-01"
96115,"d009","1995-08-05","9999-01-01"
471150,"d004","1990-02-20","2001-01-23"
82080,"d004","1993-05-17","9999-01-01"
432471,"d002","1997-12-14","9999-01-01"
491081,"d004","1992-04-25","1997-07-03"
81984,"d006","1986-05-11","9999-01-01"
72700,"d004","1995-07-31","2001-05-30"
255616,"d005","1988-05-25","9999-01-01"
79050,"d001","1996-08-19","9999-01-01"
492005,"d007","1994-04-17","9999-01-01"
15528,"d009","1992-02-06","9999-01-01"
417103,"d005","1986-12-08","9999-01-01"
482418,"d005","1985-05-02","9999-01-01"
441353,"d005","1991-01-28","9999-01-01"
249128,"d005","1992-03-04","9999-01-01"
296728,"d007","1996-01-16","9999-01-01"
88523,"d007","1988-09-01","1989-04-11"
297663,"d004","1987-04-13","9999-01-01"
450257,"d006","1994-08-04","1994-08-21"
28265,"d007","1985-03-20","1987-11-24"
460990,"d007","1991-02-02","9999-01-01"
256528,"d009","1995-10-29","1998-11-03"
280288,"d004","1985-12-16","9999-01-01"
266925,"d004","1999-03-23","9999-01-01"
210988,"d006","1991-08-31","9999-01-01"
222658,"d005","1989-04-14","9999-01-01"
260117,"d009","1996-09-16","9999-01-01"
296308,"d007","1997-07-28","9999-01-01"
12006,"d005","1998-05-08","9999-01-01"
50146,"d008","1997-10-17","9999-01-01"
466381,"d005","1999-06-27","9999-01-01"
55085,"d007","1996-06-12","2000-01-21"
424291,"d005","1998-08-02","9999-01-01"
451587,"d002","1995-05-23","2001-03-27"
237410,"d005","1995-03-03","9999-01-01"
39233,"d002","1993-03-31","9999-01-01"
436365,"d005","1995-09-16","2002-02-28"
458397,"d004","1997-06-27","9999-01-01"
289880,"d007","1999-07-28","9999-01-01"
487861,"d003","1989-03-06","9999-01-01"
44601,"d005","1993-01-21","9999-01-01"
48021,"d004","1994-09-28","9999-01-01"
480765,"d009","1988-03-05","9999-01-01"
202599,"d004","1987-07-02","9999-01-01"
444282,"d009","1992-09-05","2002-07-02"
455016,"d007","1986-05-06","9999-01-01"
264331,"d008","1991-01-09","9999-01-01"
202447,"d004","1999-11-07","2001-10-05"
238468,"d004","1989-10-15","9999-01-01"
268033,"d005","1999-01-02","9999-01-01"
26464,"d006","1999-06-02","9999-01-01"
11360,"d007","1989-01-12","9999-01-01"
402362,"d005","1990-08-18","9999-01-01"
82647,"d002","1986-10-07","9999-01-01"
16727,"d005","1987-09-24","9999-01-01"
33909,"d005","1993-05-09","9999-01-01"
486451,"d007","1998-04-15","1998-08-11"
431771,"d004","1998-02-27","9999-01-01"
276599,"d009","1993-04-24","9999-01-01"
412439,"d007","1992-07-19","9999-01-01"
64126,"d007","1994-06-10","9999-01-01"
100243,"d005","1989-01-12","1997-01-16"
229658,"d007","1991-07-14","9999-01-01"
287910,"d005","1996-09-30","9999-01-01"
457932,"d005","1985-11-03","1991-04-24"
45501,"d007","1999-11-06","9999-01-01"
297612,"d005","1988-02-05","2000-11-22"
202079,"d004","1987-12-01","9999-01-01"
283181,"d005","1996-04-21","9999-01-01"
419380,"d002","1993-08-15","2000-07-06"
36821,"d004","1988-05-11","1995-04-14"
485814,"d004","1991-03-22","1992-08-02"
89409,"d009","1986-03-14","9999-01-01"
226238,"d007","2001-07-24","9999-01-01"
484719,"d002","1985-04-19","9999-01-01"
52751,"d003","1994-12-15","9999-01-01"
99622,"d005","1987-05-19","9999-01-01"
217393,"d004","1995-10-07","1996-10-13"
449856,"d005","1999-06-27","9999-01-01"
91975,"d005","1986-07-31","9999-01-01"
478051,"d005","1996-06-05","9999-01-01"
98474,"d002","1987-01-09","9999-01-01"
43391,"d008","1997-07-03","9999-01-01"
259772,"d004","1989-08-18","9999-01-01"
106696,"d009","1994-07-21","1996-12-22"
57223,"d005","1996-04-14","9999-01-01"
427584,"d005","1999-11-23","2000-12-27"
402851,"d009","1988-07-27","9999-01-01"
462826,"d005","1986-08-12","9999-01-01"
422740,"d001","1985-11-03","9999-01-01"
444441,"d005","1995-07-17","1999-09-10"
89264,"d005","1997-01-18","9999-01-01"
480817,"d009","1995-12-12","9999-01-01"
89531,"d005","1985-03-30","9999-01-01"
69320,"d008","2000-01-02","9999-01-01"
212215,"d008","1997-12-21","9999-01-01"
278766,"d004","1990-04-22","1995-02-19"
413845,"d001","1997-07-06","2000-03-07"
457365,"d009","1993-07-24","9999-01-01"
472431,"d007","1990-08-29","1996-04-30"
473513,"d005","2000-01-03","9999-01-01"
24965,"d001","1995-12-15","1997-09-14"
35953,"d008","1992-01-27","1992-04-10"
489869,"d009","1995-09-19","2001-09-27"
483246,"d005","1989-05-10","9999-01-01"
54702,"d005","1987-12-10","9999-01-01"
437000,"d009","1993-12-15","2000-04-07"
34536,"d005","1987-06-07","9999-01-01"
296934,"d002","2001-10-24","9999-01-01"
422453,"d004","1990-07-29","9999-01-01"
295971,"d005","1997-11-20","1999-03-22"
58459,"d009","1991-11-09","1999-11-30"
202589,"d003","1992-09-15","1997-09-07"
293699,"d004","1992-01-14","9999-01-01"
61113,"d004","1991-08-11","1995-06-16"
204451,"d003","1999-02-16","9999-01-01"
260361,"d005","1995-06-06","1997-10-09"
58781,"d004","2002-06-30","9999-01-01"
235169,"d002","1997-03-10","9999-01-01"
442913,"d007","1990-03-18","9999-01-01"
485650,"d002","1996-09-16","9999-01-01"
272930,"d007","1998-12-05","9999-01-01"
406662,"d004","1985-03-16","9999-01-01"
19153,"d007","1991-11-18","9999-01-01"
11340,"d004","1991-09-11","9999-01-01"
255158,"d004","1991-04-01","1994-03-02"
53616,"d004","1994-08-04","1994-11-03"
462812,"d005","1992-12-03","9999-01-01"
469224,"d005","1992-02-25","9999-01-01"
239718,"d007","1985-10-02","9999-01-01"
46026,"d009","1991-07-01","9999-01-01"
424583,"d007","1992-03-07","9999-01-01"
221903,"d005","1989-12-03","1998-06-20"
23426,"d003","1988-10-14","1989-04-11"
203602,"d005","1992-04-25","9999-01-01"
491238,"d005","1988-07-12","1990-01-29"
107749,"d005","1992-10-19","9999-01-01"
293401,"d007","1986-07-13","9999-01-01"
476024,"d007","1986-05-26","9999-01-01"
426394,"d008","1988-06-25","9999-01-01"
489836,"d004","1993-01-30","9999-01-01"
226230,"d004","1995-01-10","9999-01-01"
418662,"d009","1997-03-23","9999-01-01"
430320,"d004","1995-02-13","9999-01-01"
56570,"d002","1996-09-30","1998-06-08"
474908,"d007","1989-06-01","9999-01-01"
286976,"d005","1992-05-31","9999-01-01"
206357,"d005","1995-02-07","1996-09-02"
423940,"d005","1994-04-05","1995-02-09"
210273,"d004","1998-01-12","9999-01-01"
451055,"d004","1996-07-16","9999-01-01"
204956,"d002","1987-09-27","9999-01-01"
232632,"d005","1985-08-29","9999-01-01"
296970,"d007","1986-06-01","9999-01-01"
405263,"d009","1995-02-03","1996-03-27"
458220,"d005","1999-07-26","9999-01-01"
87577,"d007","1992-10-03","9999-01-01"
299661,"d002","1989-06-12","9999-01-01"
433300,"d006","2001-12-19","9999-01-01"
450299,"d001","1993-08-08","9999-01-01"
24843,"d006","1988-08-19","9999-01-01"
419232,"d005","1991-07-22","9999-01-01"
13898,"d007","1997-04-23","9999-01-01"
95353,"d005","1989-07-16","1998-12-19"
47124,"d009","1999-08-17","2001-09-27"
423838,"d004","1985-12-15","9999-01-01"
240851,"d005","1999-03-17","9999-01-01"
451402,"d004","1990-12-27","2001-11-12"
77507,"d004","1995-09-29","9999-01-01"
69162,"d002","1986-11-11","9999-01-01"
26855,"d003","1992-01-03","1993-07-22"
40443,"d005","1992-05-20","9999-01-01"
85290,"d005","1993-08-29","9999-01-01"
264443,"d005","1988-04-23","1990-12-31"
81133,"d004","1999-03-25","9999-01-01"
39068,"d003","1990-07-23","9999-01-01"
458675,"d009","1996-11-08","9999-01-01"
21496,"d007","1990-12-18","9999-01-01"
98842,"d003","1996-06-28","9999-01-01"
19538,"d008","1986-08-08","9999-01-01"
476237,"d005","1993-11-19","2001-04-16"
59329,"d007","1987-02-07","1991-01-25"
446460,"d008","2001-11-14","9999-01-01"
206445,"d001","1985-11-11","1989-08-31"
97939,"d005","1992-07-22","1995-02-02"
280086,"d005","1986-12-04","9999-01-01"
227077,"d007","1987-03-10","2002-04-13"
424446,"d004","1998-04-20","9999-01-01"
25272,"d005","1999-10-21","9999-01-01"
223523,"d001","1988-09-25","9999-01-01"
79245,"d004","1989-06-05","1991-06-01"
297503,"d006","1999-11-07","9999-01-01"
298224,"d007","1994-04-27","1994-09-20"
203142,"d004","1997-01-04","9999-01-01"
25977,"d005","1991-02-25","9999-01-01"
246984,"d003","1993-09-15","9999-01-01"
472831,"d004","1989-08-31","1990-09-24"
250057,"d007","1990-03-13","9999-01-01"
99470,"d002","1996-01-13","9999-01-01"
213430,"d005","1998-02-25","9999-01-01"
496079,"d005","1985-03-07","9999-01-01"
21917,"d004","1986-05-28","1996-07-14"
466893,"d005","1996-05-01","9999-01-01"
436685,"d003","1992-11-11","9999-01-01"
282871,"d007","1994-01-24","9999-01-01"
225603,"d005","1988-01-05","9999-01-01"
266570,"d001","1990-08-25","1995-04-23"
282718,"d005","1996-06-01","2002-04-23"
56874,"d001","1994-03-18","9999-01-01"
275994,"d004","1991-02-21","9999-01-01"
49427,"d004","1992-09-07","9999-01-01"
87287,"d007","1995-08-26","1999-05-14"
294139,"d007","1998-09-15","2001-04-13"
409695,"d007","1998-07-29","2001-01-13"
244131,"d009","1987-02-03","9999-01-01"
492047,"d008","1987-10-29","1995-04-30"
72366,"d008","1998-08-27","9999-01-01"
435742,"d005","1990-01-22","9999-01-01"
44680,"d006","1985-06-13","9999-01-01"
270581,"d001","1998-12-22","9999-01-01"
246490,"d004","1985-06-16","9999-01-01"
38470,"d009","1995-03-10","9999-01-01"
103799,"d007","1998-05-01","1998-05-22"
410646,"d005","1985-03-09","9999-01-01"
418354,"d005","1991-07-10","9999-01-01"
204766,"d005","1997-04-08","2000-07-20"
422342,"d004","1999-11-20","9999-01-01"
410935,"d005","1993-04-03","9999-01-01"
479672,"d005","1986-05-25","1996-02-28"
93942,"d004","1993-05-26","9999-01-01"
212360,"d007","1997-09-24","9999-01-01"
202600,"d005","1991-12-20","9999-01-01"
68281,"d005","1986-06-11","9999-01-01"
274310,"d004","1999-08-03","9999-01-01"
275081,"d001","1986-07-31","9999-01-01"
432039,"d005","1988-06-14","9999-01-01"
468890,"d001","1993-08-23","9999-01-01"
84393,"d001","1985-04-23","9999-01-01"
237343,"d005","1988-04-20","9999-01-01"
100425,"d009","1989-09-05","1999-01-13"
286214,"d001","1990-02-25","1990-11-11"
208700,"d005","1987-04-20","9999-01-01"
209872,"d007","1988-12-15","9999-01-01"
299444,"d004","1988-07-16","1991-09-06"
463462,"d007","2001-09-04","9999-01-01"
