"emp_no","salary","from_date","to_date"
295465,53025,"1998-03-23","1999-03-23"
458322,79344,"2002-01-26","9999-01-01"
296808,45240,"1990-07-06","1991-07-06"
43960,40000,"1993-01-27","1994-01-27"
203999,46461,"1999-08-02","2000-08-01"
428505,59500,"2001-09-27","9999-01-01"
71629,66530,"2002-04-17","9999-01-01"
204425,67213,"2001-10-05","9999-01-01"
418954,60414,"2000-03-11","2001-03-11"
287210,44030,"1998-09-28","1999-09-28"
442980,47001,"1987-06-28","1988-06-27"
294978,99164,"2001-08-31","9999-01-01"
400006,59658,"1995-04-07","1996-04-05"
237077,65388,"1989-12-21","1990-12-21"
45943,53155,"1985-05-26","1986-05-26"
271774,53432,"2000-12-08","2001-12-08"
200570,43575,"1992-12-27","1993-12-27"
203562,53738,"1991-02-05","1992-02-05"
40841,52041,"1999-09-22","2000-09-21"
420718,46181,"1997-09-08","1998-09-08"
37285,79683,"2000-07-18","2001-07-18"
228741,64004,"1997-03-07","1998-03-07"
80035,63006,"1994-07-19","1995-07-19"
56263,48235,"2002-06-23","9999-01-01"
294448,61321,"1997-10-01","1998-10-01"
425679,56639,"2001-01-16","2002-01-16"
282593,49181,"1995-09-15","1996-09-14"
231291,53514,"2002-04-23","9999-01-01"
297519,60104,"1996-11-07","1997-11-07"
297388,64607,"1998-08-24","1999-08-24"
29518,40000,"1986-03-13","1987-03-13"
431012,53485,"1991-03-21","1992-03-20"
203753,51438,"1992-08-20","1993-08-20"
487755,91342,"2001-08-26","9999-01-01"
17870,74088,"2002-06-20","9999-01-01"
220160,70028,"1995-01-29","1996-01-29"
108040,65198,"1996-05-23","1997-05-23"
445883,97949,"2001-09-25","9999-01-01"
269455,47244,"1986-08-09","1987-08-09"
292369,71841,"1992-01-22","1993-01-21"
408119,42879,"1998-02-12","1999-02-12"
206521,66178,"1993-12-18","1994-12-18"
224778,50001,"2002-01-13","9999-01-01"
101669,65327,"2001-12-31","9999-01-01"
297802,51147,"1999-05-12","2000-05-11"
91781,112040,"2002-03-08","9999-01-01"
408885,52145,"1992-02-19","1993-02-18"
219654,55215,"1999-09-29","2000-09-28"
252916,71055,"2001-10-31","9999-01-01"
424429,40000,"1990-01-16","1991-01-16"
425985,51964,"1999-07-12","2000-07-11"
58035,57073,"1986-02-05","1987-02-05"
452481,104221,"1992-11-15","1993-11-15"
61676,73739,"2001-11-04","9999-01-01"
102451,40000,"1996-07-19","1997-07-19"
214088,65834,"2000-02-25","2001-02-24"
429608,78317,"1991-12-31","1992-12-30"
429800,64077,"2001-10-01","9999-01-01"
429532,76697,"1994-11-11","1995-11-11"
234974,45084,"1988-05-29","1989-05-29"
79864,74296,"2001-09-20","9999-01-01"
61323,51669,"1995-08-07","1996-08-06"
404784,86527,"1996-03-13","1996-07-20"
482571,56634,"1998-06-21","1999-06-21"
228760,51321,"1993-09-06","1994-09-06"
37297,64694,"1995-01-15","1996-01-15"
57211,56735,"1990-02-28","1991-02-28"
55107,119898,"2001-10-04","9999-01-01"
24187,89703,"2001-11-06","9999-01-01"
68225,85402,"1995-01-27","1996-01-27"
201855,75477,"1999-03-28","2000-03-27"
20976,59156,"2001-04-12","2002-04-12"
451934,65886,"1999-06-24","2000-06-23"
452851,60502,"1991-03-24","1992-03-23"
245994,82760,"1993-10-25","1994-10-25"
221650,65519,"2002-07-08","9999-01-01"
98723,71532,"1994-03-30","1995-03-30"
221227,61999,"1998-06-09","1999-06-09"
86521,51927,"2000-07-16","2001-07-16"
484623,49101,"1995-03-02","1996-03-01"
473424,72504,"2000-12-14","2001-12-14"
238414,86722,"2000-07-04","2001-07-04"
54454,47545,"2002-03-22","9999-01-01"
230984,67967,"2000-10-27","2001-10-27"
39418,45460,"1994-03-07","1995-03-07"
28303,80065,"1999-08-17","2000-08-16"
16284,48141,"1995-11-14","1996-11-13"
236666,53192,"1986-07-10","1987-07-10"
237896,50698,"2001-02-27","2002-02-27"
214243,65055,"2000-03-10","2001-03-10"
32221,101257,"1995-12-17","1996-12-16"
474156,59348,"2001-07-04","2002-07-04"
61168,45264,"1994-12-03","1995-12-03"
32460,57429,"1993-10-15","1994-10-15"
409918,69679,"1989-04-22","1990-04-22"
292709,59433,"1988-07-05","1989-07-05"
455316,122220,"2001-08-03","9999-01-01"
16936,92101,"1996-09-26","1997-09-26"
83402,54121,"1996-09-24","1997-09-24"
215985,49667,"1999-06-26","2000-06-25"
405063,71428,"2001-11-29","9999-01-01"
460583,52520,"1990-06-26","1991-06-26"
63458,52498,"1999-12-11","2000-12-10"
39018,86566,"1995-03-17","1996-03-16"
496706,68975,"1999-03-07","2000-03-06"
266557,47127,"1990-07-24","1991-07-24"
280384,86908,"1995-01-31","1996-01-31"
476419,79130,"1992-07-14","1993-07-14"
90748,81423,"1992-11-19","1993-10-16"
204847,62454,"1994-04-08","1995-04-08"
87940,60001,"1987-02-12","1988-02-12"
104316,43226,"1992-10-13","1993-10-13"
210776,81320,"2002-03-30","9999-01-01"
418884,63768,"1994-04-21","1995-04-21"
41920,60699,"2000-02-13","2001-02-12"
297382,73983,"2001-05-20","2002-05-20"
273866,61107,"1999-04-18","2000-04-17"
61254,86121,"2000-04-24","2001-04-24"
264432,82035,"1995-05-09","1996-05-08"
75084,64311,"1998-04-29","1999-04-29"
474569,95323,"1997-07-17","1998-07-17"
76435,57308,"1999-04-22","2000-04-21"
483279,82293,"2001-08-29","9999-01-01"
237273,54390,"1998-06-07","1999-06-07"
415047,67565,"1991-10-15","1992-10-14"
46631,95923,"1992-03-10","1993-03-10"
449756,66654,"1999-07-24","2000-07-23"
208648,55996,"1992-02-07","1993-02-06"
435160,54042,"1999-12-06","2000-12-05"
464003,67082,"1999-12-04","2000-12-03"
48947,68996,"1998-05-19","1999-05-19"
419194,69586,"1991-05-03","1992-05-02"
82338,56799,"1996-03-06","1997-03-06"
61096,70907,"2002-03-24","9999-01-01"
260874,56116,"2000-05-03","2001-05-03"
293569,64963,"1990-08-28","1991-08-28"
258973,55109,"2000-04-15","2001-04-15"
214796,87365,"1995-05-01","1996-04-30"
57867,49049,"1995-10-19","1996-10-18"
37891,44758,"1987-05-16","1988-05-15"
297176,60161,"1986-06-23","1987-06-23"
458707,61615,"1994-03-29","1995-03-29"
251225,59267,"1995-07-02","1996-07-01"
490498,42317,"1987-12-12","1988-12-11"
232847,70973,"1994-06-28","1995-06-28"
230182,66850,"1996-01-27","1997-01-26"
46332,40000,"1997-05-01","1998-05-01"
480385,97753,"2002-06-29","9999-01-01"
99349,81660,"1994-03-19","1995-03-19"
243895,50594,"1993-04-17","1994-04-17"
440385,53589,"2000-02-10","2000-02-25"
19611,44744,"1999-03-16","2000-03-15"
429455,52653,"1997-11-01","1998-11-01"
58685,88723,"1993-01-26","1994-01-26"
201996,43050,"1992-05-07","1993-05-07"
403614,80322,"1998-10-20","1999-10-20"
464849,43249,"1987-01-20","1988-01-20"
261086,41133,"1996-08-20","1997-08-20"
461904,85753,"1994-05-19","1995-05-19"
47614,52465,"1999-04-29","2000-04-28"
240555,49919,"1993-10-16","1994-10-16"
455090,51239,"1991-10-03","1992-10-02"
473430,68174,"1985-04-12","1986-04-12"
436352,81266,"1998-02-26","1999-02-26"
480801,61910,"1995-12-14","1996-12-13"
224534,46695,"1987-06-03","1988-06-02"
452683,43407,"1989-10-29","1990-10-29"
102827,53385,"2000-10-22","2001-10-22"
294371,55549,"1997-02-07","1998-02-07"
426342,70909,"1987-03-13","1988-03-12"
30771,48715,"2002-05-10","9999-01-01"
282996,73486,"2000-02-11","2001-02-10"
101925,87252,"1996-07-07","1997-07-07"
45691,71762,"1999-01-28","2000-01-28"
271033,65174,"1995-03-24","1996-03-23"
212471,51658,"1998-11-29","1999-11-29"
285512,45845,"1995-09-20","1996-09-19"
439957,72427,"2000-09-26","2001-09-26"
249486,46381,"1991-10-29","1992-10-28"
41784,47342,"1993-11-19","1994-11-19"
218214,74215,"1990-05-24","1991-05-24"
262389,60579,"1999-09-12","1999-11-26"
424269,73143,"2002-06-04","9999-01-01"
492605,54437,"2000-08-14","2001-08-14"
279620,44646,"1995-07-19","1996-07-18"
19278,57405,"1994-03-24","1995-03-24"
223343,63129,"2001-04-25","2002-04-25"
20320,89052,"1997-10-14","1998-10-14"
12564,77705,"2000-11-02","2001-11-02"
424205,46997,"1998-04-20","1999-04-20"
88313,46565,"1998-05-08","1998-06-21"
54546,66915,"1999-07-15","2000-07-14"
454919,60323,"1996-06-19","1997-06-19"
217078,52899,"2000-06-07","2001-06-07"
482137,81974,"1992-02-07","1993-02-06"
60334,47720,"2000-03-24","2001-03-24"
96277,55377,"1997-03-26","1998-03-26"
15365,68949,"1999-08-08","2000-08-07"
91634,54776,"1995-05-26","1996-05-25"
470487,60250,"1997-07-11","1998-07-11"
98888,65686,"2002-03-21","9999-01-01"
447559,57524,"1990-01-11","1991-01-11"
42218,64270,"1998-04-26","1999-04-26"
17672,65655,"1989-01-21","1990-01-21"
283287,44305,"1992-10-04","1993-10-04"
492033,68956,"1998-08-13","1999-08-13"
66524,68475,"1998-09-21","1999-09-21"
229888,65299,"1990-08-08","1991-08-08"
67483,99728,"1999-05-05","2000-05-04"
31894,55378,"1993-04-27","1994-04-27"
488410,76175,"1991-01-18","1992-01-18"
471036,44759,"1992-09-11","1993-09-11"
109459,72681,"1999-12-30","2000-12-29"
207900,68715,"1995-12-15","1996-02-29"
99469,54284,"2000-09-05","2001-09-05"
29865,40000,"1994-05-05","1995-05-05"
220096,52828,"1997-12-20","1998-12-20"
69910,57072,"2000-08-06","2001-08-06"
64776,57997,"1997-04-30","1998-04-30"
244005,49659,"1995-01-14","1996-01-14"
88478,83281,"1993-08-01","1994-08-01"
224922,41548,"1993-03-09","1994-03-09"
479615,40000,"1990-03-29","1991-03-29"
242362,61626,"1993-09-24","1994-09-24"
445797,96263,"2000-12-23","2001-12-23"
27560,71258,"1995-09-24","1996-09-23"
22933,63584,"1998-04-12","1999-04-12"
442269,82456,"1990-02-05","1991-02-05"
489755,50263,"1994-12-30","1995-12-30"
14672,50832,"1995-07-22","1996-07-21"
427959,77284,"2001-06-13","2002-06-13"
402024,66928,"1991-07-17","1992-07-16"
222655,63842,"2002-03-15","9999-01-01"
255148,59225,"1995-03-09","1996-03-08"
433714,40000,"1988-07-26","1989-07-26"
212212,59300,"1993-12-11","1994-12-11"
257607,40610,"1992-11-11","1993-11-11"
215766,62061,"2002-05-18","9999-01-01"
461293,65635,"2001-03-23","2002-03-23"
88914,74046,"1997-11-14","1998-11-14"
18756,61806,"1992-10-26","1993-10-27"
206558,64036,"1999-03-16","2000-03-15"
452199,50448,"2000-02-22","2001-02-21"
37559,82935,"1996-02-27","1997-02-26"
406779,79576,"1993-08-13","1994-08-13"
467628,80157,"2001-08-27","9999-01-01"
495130,82038,"2000-10-25","2001-10-25"
68217,71614,"2000-10-03","2001-10-03"
251322,69947,"1997-12-19","1998-12-19"
467463,55954,"1995-06-24","1996-06-23"
210524,44770,"2000-04-17","2001-04-17"
445594,66406,"1995-02-20","1996-02-20"
223318,84738,"1994-06-15","1995-06-15"
495323,59822,"1990-09-26","1991-09-26"
416999,72610,"2000-05-05","2001-05-05"
438066,40000,"1996-03-09","1997-03-09"
75748,87067,"2001-09-04","9999-01-01"
10585,64711,"1997-01-07","1998-01-07"
237885,85327,"2001-09-20","9999-01-01"
292384,50827,"2002-07-18","9999-01-01"
17567,85542,"1999-12-07","2000-12-06"
406395,73323,"2001-12-11","9999-01-01"
211335,43811,"1988-11-04","1989-11-04"
90728,52516,"1991-06-12","1992-06-11"
29061,74386,"1996-07-12","1997-07-12"
68310,69367,"1999-09-29","2000-09-28"
75315,75231,"1998-06-05","1999-06-05"
417330,54373,"1996-09-21","1997-09-21"
224881,65256,"1988-06-10","1989-06-10"
11402,123693,"2001-03-06","2002-03-06"
248426,54137,"1993-05-22","1994-05-22"
291055,107163,"1992-05-15","1993-05-15"
236504,51342,"2001-06-20","2002-06-20"
248887,80622,"2002-03-27","9999-01-01"
462079,63399,"1998-11-12","1998-12-26"
75413,94132,"1998-01-13","1999-01-13"
92958,56537,"1989-03-30","1990-03-30"
92638,70710,"2002-01-07","9999-01-01"
93980,85729,"2000-04-17","2001-04-17"
105721,63156,"1995-04-11","1996-04-10"
283740,68247,"1992-04-23","1993-04-23"
15513,98266,"2001-05-17","2002-05-17"
228250,54545,"1995-06-07","1996-06-06"
473916,79735,"1992-03-29","1993-03-29"
209510,64195,"1998-12-31","1999-12-31"
12534,71148,"1988-08-13","1989-08-13"
79741,43664,"1989-12-31","1990-12-31"
482301,51847,"1995-06-25","1996-06-24"
457446,66233,"1990-09-06","1991-09-06"
28432,47698,"1988-10-29","1989-10-29"
235420,76960,"1996-10-03","1997-10-03"
416796,57152,"1993-05-28","1994-05-28"
414597,52473,"1988-06-12","1989-06-12"
446448,75688,"2000-03-02","2001-03-02"
64117,46146,"1999-06-21","2000-06-20"
465056,72715,"2000-04-19","2001-04-19"
90508,63874,"1998-03-08","1999-03-08"
405536,61168,"2000-08-26","2001-08-26"
295185,69425,"1994-10-13","1995-10-13"
416153,41053,"2000-04-27","2001-04-27"
76503,120204,"2000-03-27","2001-03-27"
212010,56294,"1993-01-22","1994-01-22"
108836,40956,"1997-05-22","1998-05-22"
206533,77368,"1996-10-30","1997-10-30"
262191,75839,"1985-08-23","1986-08-23"
202507,52266,"1995-11-06","1996-11-05"
297971,66607,"1993-09-26","1994-09-26"
455492,52139,"1999-01-07","2000-01-07"
20696,46403,"2000-03-26","2001-03-26"
428720,50503,"1993-02-16","1994-02-16"
52977,94170,"1998-04-12","1999-04-12"
298207,55015,"2001-04-27","2002-04-27"
484149,57894,"1996-02-28","1997-02-27"
223678,43599,"1990-07-22","1991-07-22"
430771,50293,"2001-01-06","2002-01-06"
227925,67259,"2000-09-07","2001-09-07"
206521,60434,"1989-12-19","1990-12-19"
109790,73928,"2002-04-10","9999-01-01"
433406,40000,"1986-07-26","1987-07-26"
427018,45527,"1992-09-03","1993-09-03"
11691,46240,"1989-04-04","1990-04-04"
209695,47504,"2002-01-28","9999-01-01"
448963,40000,"1987-03-29","1988-03-28"
74593,54923,"1995-02-17","1996-02-17"
489760,85417,"1997-06-16","1998-06-16"
46412,53092,"1999-04-24","2000-04-23"
460230,73249,"1999-10-09","2000-10-08"
82478,78401,"1999-03-16","2000-03-15"
88764,77585,"1994-11-04","1995-11-04"
32180,72116,"1993-04-22","1994-04-22"
482606,58058,"1998-09-07","1998-11-12"
233588,95051,"1992-02-12","1993-02-11"
232594,75485,"1989-12-26","1990-12-26"
265605,63051,"2002-04-17","9999-01-01"
423048,59801,"2001-05-14","2002-05-14"
83657,54282,"1996-10-27","1997-10-26"
19750,77237,"1999-07-11","2000-07-10"
269855,88105,"1999-08-17","2000-08-16"
275812,87154,"1997-05-31","1998-05-31"
22853,79321,"1996-11-12","1997-11-12"
262581,48095,"1996-11-06","1997-11-06"
30852,72250,"1987-07-17","1988-07-16"
67703,75408,"2000-02-26","2001-02-25"
107155,70888,"1998-08-04","1999-08-04"
50475,69551,"1999-11-05","2000-11-04"
234175,76479,"2000-05-19","2001-04-20"
289258,55048,"1998-09-02","1999-09-02"
416692,88213,"2001-08-12","9999-01-01"
42710,61877,"1998-02-20","1999-02-20"
467845,40404,"1991-11-12","1992-11-11"
209433,103473,"2001-08-07","9999-01-01"
476731,65282,"2002-01-31","9999-01-01"
287677,83768,"1995-03-18","1996-03-17"
491088,51261,"1993-04-26","1994-04-26"
464548,63927,"1995-04-01","1996-03-31"
487369,63836,"1993-07-03","1994-07-03"
74337,66258,"2000-05-31","2001-05-31"
493638,51796,"1998-07-12","1999-07-12"
212347,50511,"2000-04-27","2001-04-27"
408972,54385,"1997-12-27","1998-12-27"
220122,60943,"1998-03-19","1999-03-19"
481022,65946,"1996-04-08","1997-04-08"
57897,40000,"1986-01-06","1987-01-06"
299979,78588,"1997-06-14","1998-06-14"
451105,66125,"1996-12-05","1997-12-05"
235302,65363,"1995-02-22","1996-02-22"
84773,60390,"1996-02-05","1997-02-04"
203294,43923,"1996-01-16","1997-01-15"
260091,65026,"1999-11-27","2000-11-26"
278764,118265,"1997-04-10","1998-04-10"
235645,107299,"1985-11-26","1986-11-26"
471450,48457,"1994-11-01","1995-11-01"
242263,70263,"1999-06-28","2000-06-27"
413927,72765,"1999-09-22","2000-09-21"
444326,70890,"2001-01-06","2002-01-06"
467353,46894,"1999-07-19","2000-07-18"
413840,78586,"1998-09-08","1999-09-08"
71931,64096,"1996-09-06","1997-09-06"
21239,58308,"1996-01-04","1997-01-03"
217652,67068,"1999-10-30","2000-10-29"
53038,91617,"1999-01-31","2000-01-31"
18783,56386,"1999-06-28","2000-06-27"
92436,44539,"1996-08-05","1997-08-05"
93557,41729,"1988-12-23","1989-12-23"
224097,63848,"1992-08-20","1993-08-20"
69162,95518,"1988-11-10","1989-11-10"
218675,77917,"1991-01-08","1992-01-08"
420594,70654,"2002-04-22","9999-01-01"
56435,56673,"1999-09-01","2000-08-31"
109429,40194,"1989-05-02","1990-05-02"
440115,40000,"1987-10-25","1988-10-24"
43802,73694,"1992-04-27","1993-04-27"
432858,62621,"1997-08-31","1998-08-31"
259386,75066,"2001-08-28","9999-01-01"
298425,51898,"2001-04-29","2002-04-29"
488582,93164,"2000-02-09","2001-02-08"
11245,83778,"1997-11-24","1998-11-24"
78545,62295,"2002-02-15","9999-01-01"
252228,92060,"1990-01-21","1991-01-21"
98623,92179,"1995-04-28","1996-04-27"
43230,43844,"1998-11-02","1999-11-02"
251178,74092,"2002-02-13","9999-01-01"
41967,55490,"1992-01-03","1993-01-02"
240963,40000,"1990-02-11","1991-02-11"
472375,50364,"1991-01-14","1992-01-14"
492570,86463,"2001-03-24","2002-03-24"
50491,45745,"2002-04-02","9999-01-01"
106741,96371,"2001-11-27","9999-01-01"
52513,98144,"1998-08-06","1999-08-06"
248507,88390,"2001-03-17","2002-03-17"
53410,96297,"2001-06-01","2002-06-01"
247207,45073,"1992-09-04","1993-09-04"
249850,78843,"2001-02-21","2002-02-21"
293693,101206,"1988-04-22","1989-04-22"
23909,56527,"2001-11-05","9999-01-01"
261514,66330,"1994-09-04","1995-09-04"
14338,43596,"1986-11-29","1987-11-29"
281883,41053,"1993-10-23","1994-10-23"
444063,77906,"2000-11-21","2001-11-21"
237720,55925,"1999-04-03","2000-04-02"
200222,43616,"1997-01-04","1998-01-04"
17455,63317,"2000-06-17","2001-06-17"
299121,47838,"2002-04-15","9999-01-01"
435690,89782,"1999-10-12","2000-10-11"
248002,62578,"1998-06-21","1999-06-21"
238260,46290,"1999-10-22","2000-10-21"
55145,52890,"1990-08-10","1991-08-10"
294800,72579,"1997-05-13","1998-05-13"
260906,41048,"1990-07-02","1991-07-02"
254165,72621,"1989-05-07","1990-05-07"
87476,67102,"1992-01-20","1993-01-19"
495174,86980,"1998-01-16","1999-01-16"
497515,61208,"1991-08-06","1992-08-05"
261628,48758,"1998-01-12","1999-01-12"
455015,51964,"1996-03-23","1997-03-23"
494120,85212,"2000-10-13","2001-10-13"
479755,51121,"1999-10-04","2000-10-03"
226185,53548,"1999-09-04","2000-09-03"
49667,92722,"1991-11-30","1992-11-29"
414678,59029,"2001-06-04","2002-06-04"
442083,81636,"1998-06-21","1999-06-21"
488295,88869,"1997-10-27","1998-10-27"
439275,56222,"1998-03-21","1999-03-21"
56173,51533,"2001-09-22","9999-01-01"
468188,45902,"2000-09-19","2001-09-19"
252940,78206,"1986-11-10","1987-11-10"
258010,51722,"1988-02-18","1989-02-17"
288176,40000,"1986-01-27","1987-01-27"
292413,53879,"1989-08-01","1990-08-01"
20616,61907,"1999-09-20","2000-09-19"
293224,63388,"1992-09-06","1993-09-06"
241423,44261,"1988-09-18","1989-09-18"
413356,68357,"1989-12-31","1990-12-31"
296539,72473,"2000-11-10","2001-11-10"
279449,46082,"1993-07-04","1994-07-04"
473208,65693,"2000-06-01","2001-06-01"
209505,71687,"2000-01-03","2001-01-02"
229467,59795,"1997-08-24","1998-08-24"
428546,53332,"1993-09-09","1994-09-09"
428438,50709,"1992-07-11","1993-07-11"
37725,75670,"2001-07-30","2002-07-30"
432679,80502,"2001-09-03","9999-01-01"
237921,50376,"1998-07-11","1999-07-11"
487720,77994,"2001-12-10","9999-01-01"
447653,54020,"1991-07-16","1992-07-15"
83346,59316,"1996-11-09","1997-11-09"
469048,73116,"2002-01-24","9999-01-01"
200354,58270,"1990-11-25","1991-11-25"
491787,59822,"1994-12-29","1995-12-29"
283692,86144,"1993-10-15","1994-10-15"
415088,93761,"1999-05-14","2000-05-13"
489486,73530,"2000-09-14","2001-09-14"
231637,68925,"1998-03-30","1999-03-30"
101188,55105,"1988-04-28","1989-04-28"
280476,105166,"2002-01-25","9999-01-01"
441143,55972,"1999-11-01","2000-10-31"
29709,43409,"1997-03-23","1998-03-23"
262784,54954,"1999-12-14","2000-12-13"
410653,69550,"2000-09-16","2001-09-16"
205477,62481,"1991-09-12","1992-09-11"
208157,68507,"2000-11-10","2001-11-10"
228387,45643,"1992-05-01","1993-05-01"
210900,51896,"1995-05-11","1996-05-10"
72395,50301,"1986-01-30","1987-01-30"
285612,57129,"1997-12-24","1998-12-24"
105064,76132,"1994-08-25","1995-08-25"
75072,49050,"2000-01-16","2001-01-15"
426901,49642,"1993-03-15","1994-03-15"
286588,74611,"1993-12-12","1994-12-12"
474264,40361,"1995-01-16","1996-01-16"
481778,54919,"1995-07-08","1996-07-07"
105846,51351,"2002-05-27","9999-01-01"
470604,54333,"1993-08-13","1994-08-13"
19138,102556,"1999-12-07","2000-12-06"
23979,55084,"1992-10-21","1993-10-21"
417298,43716,"1997-12-01","1998-12-01"
430086,55021,"1992-03-15","1993-03-15"
498926,50833,"1989-05-07","1990-05-07"
274265,49105,"2002-02-26","9999-01-01"
443809,43482,"1996-06-20","1997-06-20"
209736,65124,"1990-07-04","1991-07-04"
